iter	Passed	Remaining
0	161	160917
1	161	80735
2	162	53999
3	163	40628
4	163	32604
5	164	27246
6	165	23444
7	165	20567
8	166	18328
9	167	16535
10	167	15070
11	168	13848
12	168	12815
13	169	11930
14	169	11162
15	170	10491
16	171	9898
17	171	9371
18	172	8899
19	172	8473
20	173	8090
21	174	7741
22	174	7421
23	175	7128
24	175	6862
25	176	6615
26	177	6385
27	177	6173
28	178	5975
29	179	5788
30	179	5614
31	180	5451
32	180	5297
33	181	5153
34	181	5017
35	182	4888
36	183	4766
37	183	4651
38	184	4541
39	184	4437
40	185	4338
41	186	4244
42	186	4154
43	187	4067
44	187	3985
45	188	3906
46	189	3832
47	189	3760
48	190	3690
49	190	3626
50	191	3563
51	192	3501
52	192	3442
53	193	3385
54	193	3330
55	194	3277
56	195	3226
57	195	3176
58	196	3129
59	196	3082
60	197	3037
61	197	2994
62	198	2952
63	199	2911
64	199	2871
65	200	2833
66	200	2796
67	201	2756
68	201	2721
69	202	2687
70	202	2654
71	203	2622
72	204	2590
73	204	2560
74	205	2531
75	205	2502
76	206	2476
77	207	2448
78	207	2421
79	208	2395
80	208	2369
81	209	2344
82	209	2319
83	210	2296
84	210	2270
85	211	2248
86	211	2223
87	212	2202
88	213	2181
89	213	2160
90	214	2140
91	214	2120
92	215	2100
93	216	2082
94	216	2064
95	217	2047
96	218	2030
97	218	2013
98	219	2000
99	220	1986
100	221	1975
101	222	1956
102	222	1941
103	223	1926
104	224	1912
105	225	1898
106	225	1883
107	226	1868
108	226	1854
109	227	1840
110	228	1826
111	228	1812
112	229	1799
113	229	1786
114	230	1774
115	231	1760
116	231	1748
117	232	1736
118	232	1722
119	233	1710
120	233	1698
121	234	1687
122	234	1674
123	235	1663
124	236	1652
125	236	1641
126	237	1631
127	237	1619
128	238	1608
129	238	1598
130	239	1588
131	240	1579
132	240	1569
133	241	1559
134	242	1550
135	242	1541
136	243	1532
137	243	1522
138	244	1513
139	245	1505
140	245	1496
141	246	1487
142	246	1479
143	247	1471
144	248	1463
145	248	1454
146	249	1446
147	249	1439
148	250	1431
149	251	1423
150	251	1415
151	252	1408
152	253	1400
153	253	1393
154	254	1385
155	254	1378
156	255	1371
157	255	1364
158	256	1356
159	257	1349
160	257	1342
161	258	1335
162	258	1329
163	259	1322
164	259	1315
165	260	1309
166	261	1302
167	261	1296
168	262	1289
169	262	1283
170	263	1277
171	264	1271
172	264	1265
173	265	1259
174	265	1253
175	266	1248
176	267	1242
177	267	1236
178	268	1230
179	268	1224
180	269	1217
181	269	1212
182	270	1206
183	270	1201
184	271	1195
185	272	1190
186	272	1185
187	273	1179
188	273	1174
189	274	1169
190	274	1164
191	275	1159
192	276	1154
193	276	1149
194	277	1144
195	277	1139
196	278	1135
197	279	1130
198	279	1125
199	280	1121
200	280	1116
201	281	1112
202	282	1107
203	282	1103
204	283	1098
205	283	1094
206	284	1089
207	285	1085
208	285	1080
209	286	1076
210	286	1072
211	287	1068
212	287	1063
213	288	1059
214	289	1055
215	289	1051
216	290	1047
217	290	1042
218	291	1038
219	291	1034
220	292	1031
221	293	1027
222	293	1023
223	294	1019
224	294	1015
225	295	1011
226	295	1007
227	296	1003
228	297	1000
229	297	996
230	298	992
231	298	989
232	299	985
233	299	981
234	300	978
235	301	974
236	301	971
237	302	967
238	302	964
239	303	960
240	303	957
241	304	953
242	305	950
243	305	946
244	306	943
245	306	940
246	307	937
247	307	933
248	308	930
249	309	927
250	309	923
251	310	920
252	310	917
253	311	914
254	311	911
255	312	908
256	313	905
257	313	901
258	314	898
259	314	895
260	315	892
261	315	889
262	316	886
263	316	883
264	317	880
265	318	877
266	318	874
267	319	872
268	319	869
269	320	866
270	320	863
271	321	860
272	322	857
273	322	854
274	323	852
275	323	849
276	324	846
277	324	843
278	325	841
279	326	838
280	326	835
281	327	833
282	327	830
283	328	827
284	328	825
285	329	822
286	330	819
287	330	817
288	331	814
289	331	812
290	332	809
291	332	807
292	333	804
293	334	802
294	334	799
295	335	797
296	335	794
297	336	792
298	336	789
299	337	787
300	338	785
301	338	782
302	339	780
303	339	777
304	340	775
305	340	773
306	341	771
307	342	768
308	342	766
309	343	764
310	344	762
311	344	760
312	345	757
313	345	755
314	346	753
315	347	751
316	347	749
317	348	746
318	348	744
319	349	742
320	349	740
321	350	738
322	351	735
323	351	733
324	352	731
325	352	729
326	353	727
327	354	725
328	354	723
329	355	721
330	355	719
331	356	716
332	356	714
333	357	712
334	358	710
335	358	708
336	359	706
337	359	704
338	360	702
339	360	700
340	361	698
341	362	696
342	362	694
343	363	692
344	363	690
345	364	688
346	364	686
347	365	684
348	366	682
349	366	680
350	367	678
351	367	676
352	369	676
353	369	674
354	370	672
355	370	670
356	371	669
357	372	667
358	372	665
359	373	663
360	373	661
361	374	659
362	374	657
363	375	656
364	376	654
365	376	652
366	377	650
367	377	649
368	378	647
369	379	645
370	379	643
371	380	642
372	380	640
373	381	638
374	382	637
375	382	635
376	383	633
377	384	632
378	384	630
379	385	628
380	385	626
381	386	625
382	387	623
383	387	621
384	388	620
385	388	618
386	389	616
387	390	615
388	390	613
389	391	611
390	391	610
391	392	608
392	392	606
393	393	605
394	394	603
395	394	602
396	395	600
397	396	599
398	396	597
399	397	595
400	397	594
401	398	592
402	399	591
403	399	589
404	400	587
405	400	586
406	401	584
407	402	583
408	402	581
409	403	580
410	403	578
411	404	577
412	404	575
413	405	574
414	406	572
415	406	570
416	407	569
417	407	567
418	408	566
419	409	565
420	409	563
421	410	562
422	411	560
423	411	559
424	412	558
425	413	556
426	413	555
427	414	553
428	414	552
429	415	550
430	416	549
431	416	547
432	417	546
433	417	545
434	418	543
435	419	542
436	419	540
437	420	539
438	420	537
439	421	536
440	422	535
441	422	533
442	423	532
443	424	531
444	424	529
445	425	528
446	425	526
447	426	525
448	427	524
449	427	522
450	428	521
451	428	520
452	429	518
453	430	517
454	430	515
455	431	514
456	432	513
457	432	511
458	433	510
459	433	509
460	434	507
461	434	506
462	435	505
463	436	503
464	436	502
465	437	501
466	438	500
467	438	498
