iter	Passed	Remaining
0	157	157475
1	158	79258
2	159	53153
3	160	40065
4	161	32227
5	163	27012
6	164	23286
7	165	20511
8	166	18345
9	167	16596
10	169	15199
11	170	14013
12	171	12997
13	172	12128
14	173	11379
15	174	10719
16	175	10140
17	176	9622
18	177	9172
19	179	8818
20	181	8448
21	182	8112
22	183	7814
23	185	7529
24	188	7339
25	190	7120
26	191	6887
27	192	6668
28	194	6514
29	195	6327
30	197	6179
31	198	6010
32	199	5853
33	200	5703
34	201	5561
35	202	5427
36	205	5337
37	206	5232
38	208	5127
39	209	5018
40	211	4936
41	212	4838
42	214	4764
43	215	4673
44	216	4585
45	216	4499
46	217	4417
47	218	4338
48	219	4268
49	221	4199
50	222	4138
51	224	4085
52	225	4022
53	226	3961
54	227	3907
55	228	3850
56	229	3795
57	230	3745
58	231	3693
59	232	3642
60	233	3592
61	234	3545
62	235	3501
63	238	3486
64	239	3444
65	240	3400
66	241	3358
67	242	3318
68	243	3279
69	244	3242
70	245	3207
71	246	3170
72	246	3135
73	247	3102
74	249	3071
75	250	3044
76	252	3022
77	253	2991
78	254	2961
79	256	2946
80	257	2917
81	258	2894
82	259	2862
83	260	2835
84	260	2808
85	261	2781
86	262	2755
87	263	2732
88	264	2708
89	265	2685
90	266	2663
91	267	2640
92	268	2621
93	269	2600
94	270	2579
95	271	2559
96	273	2543
97	274	2522
98	274	2502
99	275	2483
100	276	2464
101	277	2444
102	278	2427
103	279	2410
104	280	2393
105	281	2376
106	282	2359
107	283	2342
108	284	2325
109	285	2309
110	286	2294
111	287	2278
112	288	2263
113	289	2248
114	290	2233
115	291	2218
116	291	2202
117	294	2204
118	296	2191
119	297	2178
120	297	2164
121	298	2149
122	299	2135
123	300	2122
124	301	2109
125	302	2095
126	302	2081
127	303	2069
128	304	2057
129	305	2046
130	306	2034
131	307	2022
132	308	2010
133	309	2000
134	310	1989
135	311	1977
136	312	1966
137	312	1955
138	313	1943
139	314	1934
140	315	1923
141	316	1910
142	317	1900
143	318	1890
144	319	1881
145	319	1871
146	320	1861
147	321	1851
148	322	1842
149	323	1833
150	324	1825
151	325	1817
152	326	1807
153	327	1798
154	328	1789
155	329	1781
156	330	1772
157	331	1764
158	332	1756
159	333	1752
160	334	1742
161	335	1734
162	336	1726
163	337	1718
164	338	1712
165	339	1705
166	340	1697
167	341	1689
168	342	1682
169	343	1674
170	343	1667
171	344	1659
172	345	1652
173	346	1645
174	347	1638
175	348	1631
176	349	1623
177	350	1616
178	351	1610
179	351	1603
180	352	1596
181	353	1589
182	354	1583
183	355	1577
184	356	1570
185	357	1563
186	358	1557
187	359	1550
188	359	1544
189	360	1538
190	361	1531
191	362	1525
192	363	1519
193	364	1513
194	365	1507
195	366	1501
196	366	1495
197	367	1489
198	368	1484
199	369	1478
200	370	1473
201	371	1467
202	372	1461
203	373	1455
204	374	1451
205	375	1445
206	375	1440
207	376	1434
208	377	1429
209	378	1424
210	379	1418
211	380	1413
212	381	1408
213	382	1403
214	382	1398
215	383	1393
216	384	1387
217	385	1382
218	386	1377
219	387	1373
220	388	1368
221	389	1363
222	389	1358
223	390	1353
224	391	1349
225	392	1344
226	393	1339
227	394	1335
228	395	1330
229	397	1329
230	398	1324
231	398	1320
232	399	1316
233	401	1312
234	401	1308
235	402	1303
236	403	1299
237	404	1294
238	405	1290
239	406	1285
240	406	1281
241	407	1277
242	408	1273
243	409	1269
244	410	1266
245	411	1262
246	412	1258
247	413	1254
248	414	1250
249	416	1248
250	416	1243
251	417	1240
252	418	1236
253	419	1232
254	420	1228
255	421	1224
256	422	1220
257	423	1216
258	423	1213
259	425	1209
260	425	1206
261	426	1202
262	427	1198
263	428	1194
264	429	1191
265	430	1187
266	431	1183
267	432	1180
268	432	1176
269	433	1173
270	434	1169
271	435	1166
272	436	1162
273	437	1159
274	438	1156
275	439	1152
276	440	1149
277	441	1145
278	442	1142
279	443	1139
280	443	1135
281	444	1132
282	445	1129
283	446	1125
284	447	1122
285	448	1118
286	449	1115
287	449	1112
288	450	1108
289	451	1105
290	452	1102
291	453	1098
292	454	1095
293	454	1092
294	455	1089
295	456	1086
296	457	1083
297	458	1081
298	459	1078
299	460	1075
300	461	1072
301	462	1069
302	463	1065
303	464	1062
304	464	1059
305	465	1056
306	466	1053
307	467	1050
308	468	1047
309	469	1045
310	470	1042
311	471	1039
312	472	1036
313	473	1033
314	474	1031
315	475	1028
316	476	1026
317	477	1023
318	478	1020
319	478	1017
320	479	1015
321	481	1012
322	482	1010
323	482	1007
324	484	1005
325	485	1002
326	486	1000
327	487	997
328	487	995
329	488	992
330	489	989
331	490	986
332	491	984
333	492	981
334	492	978
335	493	975
336	494	972
337	495	970
338	496	967
339	497	964
340	497	962
341	499	960
342	499	957
343	500	954
344	501	952
345	502	949
346	503	947
347	504	944
348	504	941
349	505	939
350	506	936
351	507	934
352	508	931
353	509	929
354	509	926
355	510	924
356	512	922
357	513	919
358	513	917
359	514	915
360	515	912
361	516	910
362	517	907
363	518	905
364	519	902
365	519	900
366	520	898
367	521	896
368	522	893
369	523	891
370	524	888
371	525	887
372	526	885
373	527	883
374	528	880
375	529	878
376	530	876
377	531	874
378	532	872
379	533	869
380	534	867
381	534	865
382	535	863
383	536	860
384	537	858
385	538	856
386	539	853
387	539	851
388	540	849
389	541	847
390	542	845
391	543	843
392	544	841
393	545	838
394	546	836
395	547	834
396	547	832
397	548	830
398	549	827
399	550	825
400	551	823
401	552	821
402	553	819
403	554	817
404	554	815
405	555	813
406	557	811
407	558	809
408	559	807
409	560	805
410	561	804
411	562	802
412	563	800
413	564	798
414	565	797
415	566	795
416	567	793
417	568	791
418	569	789
419	570	787
420	571	786
421	572	784
422	573	782
423	574	780
424	575	778
425	576	777
426	577	775
427	578	773
428	579	771
429	580	769
430	581	767
431	582	765
432	583	763
433	584	762
434	585	760
435	586	758
436	587	756
437	588	754
438	588	752
439	589	750
440	590	749
441	591	747
442	592	745
443	593	743
444	594	741
445	595	739
446	596	737
447	597	735
448	598	733
449	599	732
450	599	730
451	600	728
452	601	726
453	602	724
454	603	722
455	604	720
456	605	718
457	605	717
458	606	715
459	607	713
460	608	711
461	609	709
462	610	707
463	611	705
464	611	704
465	612	702
466	613	700
467	614	698
468	615	696
469	616	694
470	616	692
471	617	691
472	618	689
473	619	687
474	620	685
475	620	683
476	621	681
477	622	679
478	623	678
479	624	676
480	625	674
481	625	672
482	626	670
483	627	668
484	628	667
485	629	665
486	630	663
487	630	661
488	631	660
489	632	658
490	633	656
491	634	654
492	634	653
493	635	651
494	636	649
495	637	647
496	638	645
497	639	644
498	639	642
499	640	640
500	641	638
501	642	637
502	642	635
503	643	633
504	644	631
505	645	630
506	646	628
507	647	626
508	647	624
509	648	623
510	649	621
511	650	619
512	651	618
513	651	616
514	652	614
515	653	612
516	654	611
517	654	609
518	655	607
519	656	605
520	657	604
521	658	602
522	658	601
523	659	599
524	660	597
525	661	595
